,rxcui,rxaui,sab,tty,code,str,suppress
160,1256,5478766,ATC,IN,L04AX01,azathioprine,N
161,1266,5478776,ATC,IN,J01CA09,azlocillin,N
162,1272,5478777,ATC,IN,J01DF01,aztreonam,N
163,1291,5478779,ATC,IN,D06AX05,bacitracin,N
164,1291,5478780,ATC,IN,J01XX10,bacitracin,N
165,1291,5478781,ATC,IN,R02AB04,bacitracin,N
166,1292,5478782,ATC,IN,M03BX01,baclofen,N
167,1306,5477437,ATC,PT,J07A,BACTERIAL VACCINES,N
168,1321,5478785,ATC,IN,C04AA31,bamethan,N
169,1325,5478790,ATC,IN,N05CA04,barbital,N
170,1344,5477438,ATC,IN,L03AX03,BCG vaccine,N
171,1347,5478801,ATC,IN,A07EA07,beclometasone,N
172,1347,5478802,ATC,IN,D07AC15,beclometasone,N
173,1347,5478803,ATC,IN,R01AD01,beclometasone,N
174,1347,5478804,ATC,IN,R03BA01,beclometasone,N
175,1360,5478812,ATC,IN,R07AB05,bemegride,N
176,1367,5478816,ATC,IN,C04AX11,bencyclane,N
177,1369,5478820,ATC,IN,C03AA01,bendroflumethiazide,N
178,1372,5478826,ATC,IN,N02BA10,benorilate,N
179,1373,5478828,ATC,IN,N05AD07,benperidol,N
180,1378,5478831,ATC,IN,D08AJ01,benzalkonium,N
181,1378,5478832,ATC,IN,D09AA11,benzalkonium,N
182,1378,5478833,ATC,IN,R02AA16,benzalkonium,N
183,1385,5478837,ATC,IN,M04AB03,benzbromarone,N
184,1388,5480849,ATC,IN,P03AB02,lindane,N
185,1390,5478838,ATC,IN,R02AA09,benzethonium,N
186,1399,5478845,ATC,IN,C05AD03,benzocaine,N
187,1399,5478846,ATC,IN,D04AB04,benzocaine,N
188,1399,5478847,ATC,IN,N01BA05,benzocaine,N
189,1399,5478848,ATC,IN,R02AD01,benzocaine,N
190,1418,5478854,ATC,IN,D10AE01,benzoyl peroxide,N
191,1424,5478836,ATC,IN,N04AC01,benzatropine,N
192,1425,5478856,ATC,IN,A01AD02,benzydamine,N
193,1425,5478857,ATC,IN,G02CC03,benzydamine,N
194,1425,5478858,ATC,IN,M01AX07,benzydamine,N
195,1425,5478859,ATC,IN,M02AA05,benzydamine,N
196,1425,9716293,ATC,IN,R02AX03,benzydamine,N
197,1426,7717180,ATC,IN,P03AX06,benzyl alcohol,N
198,1436,5478865,ATC,IN,C08EA02,bepridil,N
199,1511,5478871,ATC,IN,N07CA01,betahistine,N
200,1512,5478872,ATC,IN,A16AA06,betaine,N
201,1514,5478874,ATC,IN,A07EA04,betamethasone,N
202,1514,5478875,ATC,IN,C05AA05,betamethasone,N
203,1514,5478876,ATC,IN,D07AC01,betamethasone,N
204,1514,5478877,ATC,IN,D07XC01,betamethasone,N
205,1514,5478878,ATC,IN,H02AB01,betamethasone,N
206,1514,5478879,ATC,IN,R01AD06,betamethasone,N
207,1514,5478880,ATC,IN,R03BA04,betamethasone,N
208,1514,5478881,ATC,IN,S01BA06,betamethasone,N
209,1514,5478882,ATC,IN,S01CB04,betamethasone,N
210,1514,5478883,ATC,IN,S02BA07,betamethasone,N
211,1514,5478884,ATC,IN,S03BA03,betamethasone,N
212,1520,5478891,ATC,IN,C07AB05,betaxolol,N
213,1520,5478892,ATC,IN,S01ED02,betaxolol,N
214,1521,5478894,ATC,IN,V04CG02,betazole,N
215,1523,5478890,ATC,IN,C02CC01,betanidine,N
216,1525,5478903,ATC,IN,C10AB02,bezafibrate,N
217,1588,5478919,ATC,IN,A11HA05,biotin,N
218,1589,5478920,ATC,IN,N04AA02,biperiden,N
219,1596,5478922,ATC,IN,A06AB02,bisacodyl,N
220,1596,5478923,ATC,IN,A06AG02,bisacodyl,N
221,1598,5479710,ATC,IN,B01AA01,dicoumarol,N
222,1605,5478934,ATC,IN,D10AB01,bithionol,N
223,1605,5478935,ATC,IN,P02BX01,bithionol,N
224,1622,5478938,ATC,IN,L01DC01,bleomycin,N
225,1637,5477499,ATC,PT,B02BD,Blood coagulation factors,N
226,1700,5478943,ATC,IN,S02AA03,boric acid,N
227,1711,5478948,ATC,IN,J06AA04,botulinum antitoxin,N
228,1716,5478949,ATC,IN,M03AX01,botulinum toxin,N
229,1737,5478951,ATC,IN,C01BD02,bretylium tosilate,N
230,1745,5478954,ATC,IN,B01AD06,brinase,N
231,1749,5478958,ATC,IN,N05BA08,bromazepam,N
232,1752,5936867,ATC,IN,D03BA03,bromelains,N
233,1752,6821799,ATC,IN,M09AB03,bromelains,N
234,1753,5478962,ATC,IN,R05CB02,bromhexine,N
235,1754,5478963,ATC,IN,N05CM11,bromides,N
236,1757,5478964,ATC,IN,N05CM03,bromisoval,N
237,1760,5478966,ATC,IN,G02CB01,bromocriptine,N
238,1760,5478967,ATC,IN,N04BC01,bromocriptine,N
239,1767,5478970,ATC,IN,R06AB01,brompheniramine,N
240,1796,5478989,ATC,IN,M01AB17,bufexamac,N
241,1796,5478990,ATC,IN,M02AA09,bufexamac,N
242,1803,5478992,ATC,IN,A10BA03,buformin,N
243,1808,5478995,ATC,IN,C03CA02,bumetanide,N
244,1809,5478998,ATC,IN,C01BD03,bunaftine,N
245,1813,5480811,ATC,IN,S01ED03,levobunolol,N
246,1815,5479001,ATC,IN,N01BB01,bupivacaine,N
247,1817,5479003,ATC,IN,C07AA19,bupranolol,N
248,1819,5479004,ATC,IN,N02AE01,buprenorphine,N
249,1819,5479005,ATC,IN,N07BC01,buprenorphine,N
250,1825,5479008,ATC,IN,L02AE01,buserelin,N
251,1827,5479009,ATC,IN,N05BE01,buspirone,N
252,1828,5479010,ATC,IN,L01AB01,busulfan,N
253,1837,5479014,ATC,IN,N05AB09,butaperazine,N
254,1841,5479019,ATC,IN,N02AF01,butorphanol,N
255,1884,5479200,ATC,IN,V04CC04,ceruletide,N
256,1886,5479031,ATC,IN,N06BC01,caffeine,N
257,1889,5479033,ATC,IN,A11CC06,calcifediol,N
258,1894,5479039,ATC,IN,A11CC04,calcitriol,N
259,1894,5479040,ATC,IN,D05AX03,calcitriol,N
260,1897,5479047,ATC,IN,A02AC01,calcium carbonate,N
261,1897,5479048,ATC,IN,A12AA04,calcium carbonate,N
262,1899,5477510,ATC,PT,C08,CALCIUM CHANNEL BLOCKERS,N
263,1901,5479049,ATC,IN,A12AA07,calcium chloride,N
264,1901,5479050,ATC,IN,B05XA07,calcium chloride,N
265,1901,5479051,ATC,IN,G04BA03,calcium chloride,N
266,1902,5479046,ATC,IN,N07BB02,calcium carbimide,N
267,1904,5479054,ATC,IN,C05BX01,calcium dobesilate,N
268,1908,5479059,ATC,IN,A12AA03,calcium gluconate,N
269,1908,5479060,ATC,IN,D11AX03,calcium gluconate,N
270,1911,5479063,ATC,IN,V08AC10,calcium iopodate,N
271,1917,5479068,ATC,IN,A12AA11,calcium pangamate,N
272,1918,5479069,ATC,IN,A11HA31,calcium pantothenate,N
273,1918,5479070,ATC,IN,D03AX04,calcium pantothenate,N
274,1919,5479071,ATC,IN,A12AA01,calcium phosphate,N
275,1950,5479073,ATC,IN,N05BA15,camazepam,N
276,1960,5479081,ATC,IN,G01AA04,candicidin,N
277,1975,5936871,ATC,IN,N02BG10,cannabinoids,N
278,1981,5481863,ATC,IN,C03DA02,potassium canrenoate,N
279,1982,5479082,ATC,IN,C03DA03,canrenone,N
280,1992,5479085,ATC,IN,M02AB01,capsaicin,N
281,1992,5479086,ATC,IN,N01BX04,capsaicin,N
282,1998,5479088,ATC,IN,C09AA01,captopril,N
283,1999,5479090,ATC,IN,N07AB01,carbachol,N
284,1999,5479091,ATC,IN,S01EB02,carbachol,N
285,2002,5479092,ATC,IN,N03AF01,carbamazepine,N
286,2009,5477552,ATC,PT,J01DH,Carbapenems,N
287,2010,5479114,ATC,IN,L01AC03,carboquone,N
288,2011,5479099,ATC,IN,B02BX02,carbazochrome,N
289,2015,5479100,ATC,IN,J01CA03,carbenicillin,N
290,2017,5479101,ATC,IN,A02BX01,carbenoxolone,N
291,2020,5479105,ATC,IN,H03BB01,carbimazole,N
292,2023,5479107,ATC,IN,R05CB03,carbocisteine,N
293,2028,5479109,ATC,IN,B05BA03,carbohydrates,N
294,2034,5479110,ATC,IN,V03AN02,carbon dioxide,N
295,2051,5479113,ATC,IN,G02AD04,carboprost,N
296,2067,5479115,ATC,IN,N05CM04,carbromal,N
297,2068,5479116,ATC,IN,A10BB06,carbutamide,N
298,2079,5477514,ATC,PT,C01A,CARDIAC GLYCOSIDES,N
299,2087,5479119,ATC,IN,B05XA16,cardioplegia solutions,N
300,2098,5479120,ATC,IN,G01AA08,carfecillin,N
301,2101,5479124,ATC,IN,M03BA02,carisoprodol,N
302,2105,5479128,ATC,IN,L01AD01,carmustine,N
303,2116,5479130,ATC,IN,C07AA15,carteolol,N
304,2116,5479131,ATC,IN,S01ED05,carteolol,N
305,2129,5479139,ATC,IN,A06AB05,castor oil,N
306,2161,5479141,ATC,IN,V04CG01,cation exchange resins,N
307,2176,5479145,ATC,IN,J01DC04,cefaclor,N
308,2177,5479146,ATC,IN,J01DB05,cefadroxil,N
309,2178,5479150,ATC,IN,J01DC03,cefamandole,N
310,2179,5479152,ATC,IN,J01DB07,cefatrizine,N
311,2180,5479154,ATC,IN,J01DB04,cefazolin,N
312,2181,5479162,ATC,IN,J01DD05,cefmenoxime,N
313,2182,5479163,ATC,IN,J01DC09,cefmetazole,N
314,2183,5479166,ATC,IN,J01DC06,cefonicid,N
315,2184,5479167,ATC,IN,J01DD12,cefoperazone,N
316,2186,5479170,ATC,IN,J01DD01,cefotaxime,N
317,2187,5479171,ATC,IN,J01DC05,cefotetan,N
318,2188,5479172,ATC,IN,J01DC07,cefotiam,N
319,2189,5479173,ATC,IN,J01DC01,cefoxitin,N
320,2190,5479181,ATC,IN,J01DD03,cefsulodin,N
321,2191,5479183,ATC,IN,J01DD02,ceftazidime,N
322,2192,5479186,ATC,IN,J01DD07,ceftizoxime,N
323,2193,5479188,ATC,IN,J01DD04,ceftriaxone,N
324,2194,5479190,ATC,IN,J01DC02,cefuroxime,N
325,2194,5479191,ATC,IN,S01AA27,cefuroxime,N
326,2222,5481553,ATC,IN,B02BC02,oxidized cellulose,N
327,2228,5480983,ATC,IN,N06BX01,meclofenoxate,N
328,2230,5479144,ATC,IN,J01DB10,cefacetrile,N
329,2231,5479147,ATC,IN,J01DB01,cefalexin,N
330,2233,5479148,ATC,IN,J01DB02,cefaloridine,N
331,2236,5479149,ATC,IN,J01DB03,cefalotin,N
332,2238,5479151,ATC,IN,J01DB08,cefapirin,N
333,2239,5479179,ATC,IN,J01DB09,cefradine,N
334,2286,5479209,ATC,IN,B05CA01,cetylpyridinium,N
335,2286,5479210,ATC,IN,D08AJ03,cetylpyridinium,N
336,2286,5479211,ATC,IN,D09AA07,cetylpyridinium,N
337,2286,5479212,ATC,IN,R02AA06,cetylpyridinium,N
338,2323,5479214,ATC,IN,A05AA01,chenodeoxycholic acid,N
339,2333,5479215,ATC,IN,P01AX01,chiniofon,N
340,2344,5479216,ATC,IN,N05CC01,chloral hydrate,N
341,2346,5479218,ATC,IN,L01AA02,chlorambucil,N
342,2348,5479219,ATC,IN,D06AX02,chloramphenicol,N
343,2348,5479220,ATC,IN,D10AF03,chloramphenicol,N
344,2348,5479221,ATC,IN,G01AA05,chloramphenicol,N
345,2348,5479222,ATC,IN,J01BA01,chloramphenicol,N
346,2348,5479223,ATC,IN,S01AA01,chloramphenicol,N
347,2348,5479224,ATC,IN,S02AA01,chloramphenicol,N
348,2348,5479225,ATC,IN,S03AA08,chloramphenicol,N
349,2354,5479227,ATC,IN,R06AE04,chlorcyclizine,N
350,2356,5479228,ATC,IN,N05BA02,chlordiazepoxide,N
351,2358,5479229,ATC,IN,A01AB03,chlorhexidine,N
352,2358,5479230,ATC,IN,B05CA02,chlorhexidine,N
353,2358,5479231,ATC,IN,D08AC02,chlorhexidine,N
354,2358,5479232,ATC,IN,D09AA12,chlorhexidine,N
355,2358,5479233,ATC,IN,R02AA05,chlorhexidine,N
356,2358,5479234,ATC,IN,S01AX09,chlorhexidine,N
357,2358,5479235,ATC,IN,S02AA09,chlorhexidine,N
358,2358,5479236,ATC,IN,S03AA04,chlorhexidine,N
359,2372,5479395,ATC,IN,N05CM02,clomethiazole,N
360,2373,5479243,ATC,IN,M03BB02,chlormezanone,N
361,2378,5479247,ATC,IN,A04AD04,chlorobutanol,N
362,2382,5481965,ATC,IN,P01BB01,proguanil,N
363,2393,5479255,ATC,IN,P01BA01,chloroquine,N
364,2396,5479256,ATC,IN,C03AA04,chlorothiazide,N
365,2397,5479259,ATC,IN,G03CA06,chlorotrianisene,N
366,2399,5479263,ATC,IN,D01AE07,chlorphenesin,N
367,2400,5479261,ATC,IN,R06AB04,chlorphenamine,N
368,2403,5479268,ATC,IN,N05AA01,chlorpromazine,N
369,2404,5479269,ATC,IN,A10BB02,chlorpropamide,N
370,2406,5479270,ATC,IN,N05AF03,chlorprothixene,N
371,2407,5479271,ATC,IN,D08AH02,chlorquinaldol,N
372,2407,5479272,ATC,IN,G01AC03,chlorquinaldol,N
373,2407,5479273,ATC,IN,P01AA04,chlorquinaldol,N
374,2407,5479274,ATC,IN,R02AA11,chlorquinaldol,N
375,2408,5479278,ATC,IN,A01AB21,chlortetracycline,N
376,2408,5479279,ATC,IN,D06AA02,chlortetracycline,N
377,2408,5479280,ATC,IN,J01AA03,chlortetracycline,N
378,2408,5479281,ATC,IN,S01AA02,chlortetracycline,N
379,2409,5479275,ATC,IN,C03BA04,chlortalidone,N
380,2410,5479282,ATC,IN,M03BB03,chlorzoxazone,N
381,2418,5479444,ATC,IN,A11CC05,colecalciferol,N
382,2420,5481602,ATC,IN,V04CK02,pancreozymin (cholecystokinin),N
383,2427,5477563,ATC,PT,J07AE,Cholera vaccines,N
384,2447,5479447,ATC,IN,C10AC01,colestyramine,N
385,2459,5475831,ATC,RXN_PT,N07AA,Anticholinesterase parasympathomimetics,N
386,2459,5477393,ATC,PT,N07AA,Anticholinesterases,N
387,2473,5479296,ATC,IN,M01AX25,chondroitin sulfate,N
388,2508,5479108,ATC,IN,C01DX05,carbocromen,N
389,2525,5479302,ATC,IN,M09AB01,chymopapain,N
390,2530,5479303,ATC,IN,B06AA04,chymotrypsin,N
391,2530,5479304,ATC,IN,S01KX01,chymotrypsin,N
392,2541,5479322,ATC,IN,A02BA01,cimetidine,N
393,2546,5479331,ATC,IN,M04AC02,cinchophen,N
394,2549,5479334,ATC,IN,N07CA02,cinnarizine,N
395,2550,5479337,ATC,IN,J01MB06,cinoxacin,N
396,2551,5479339,ATC,IN,J01MA02,ciprofloxacin,N
397,2551,5479340,ATC,IN,S01AE03,ciprofloxacin,N
398,2551,5479341,ATC,IN,S02AA15,ciprofloxacin,N
399,2551,5479342,ATC,IN,S03AA07,ciprofloxacin,N
400,2555,5479345,ATC,IN,L01XA01,cisplatin,N
401,2556,5479346,ATC,IN,N06AB04,citalopram,N
402,2578,5479354,ATC,IN,D04AA14,clemastine,N
403,2578,5479355,ATC,IN,R06AA04,clemastine,N
404,2580,5479357,ATC,IN,R03AC14,clenbuterol,N
405,2580,5479358,ATC,IN,R03CC13,clenbuterol,N
406,2582,5479362,ATC,IN,D10AF01,clindamycin,N
407,2582,5479363,ATC,IN,G01AA10,clindamycin,N
408,2582,5479364,ATC,IN,J01FF01,clindamycin,N
409,2590,5479374,ATC,IN,D07AD01,clobetasol,N
410,2592,5479384,ATC,IN,J04BA01,clofazimine,N
411,2594,5479392,ATC,IN,C10AB01,clofibrate,N
412,2596,5479398,ATC,IN,G03GB02,clomifene,N
413,2597,5479399,ATC,IN,N06AA04,clomipramine,N
414,2598,5479401,ATC,IN,N03AE01,clonazepam,N
415,2599,5479402,ATC,IN,C02AC01,clonidine,N
416,2599,5479403,ATC,IN,N02CX02,clonidine,N
417,2599,5479404,ATC,IN,S01EA04,clonidine,N
418,2603,5479407,ATC,IN,C03BA03,clopamide,N
419,2604,5479409,ATC,IN,N05AF02,clopenthixol,N
420,2607,5481868,ATC,IN,N05BA05,potassium clorazepate,N
421,2620,5479419,ATC,IN,N05AH06,clotiapine,N
422,2622,5479420,ATC,IN,N05BA21,clotiazepam,N
423,2623,5479421,ATC,IN,A01AB18,clotrimazole,N
424,2623,5479422,ATC,IN,D01AC01,clotrimazole,N
425,2623,5479423,ATC,IN,G01AF02,clotrimazole,N
426,2625,5479424,ATC,IN,J01CF02,cloxacillin,N
427,2626,5479426,ATC,IN,N05AH02,clozapine,N
428,2653,5479436,ATC,IN,N01BC01,cocaine,N
429,2653,5479437,ATC,IN,R02AD03,cocaine,N
430,2653,5479438,ATC,IN,S01HA01,cocaine,N
431,2653,5479439,ATC,IN,S02DA02,cocaine,N
432,2670,5479440,ATC,IN,R05DA04,codeine,N
433,2683,5479443,ATC,IN,M04AC01,colchicine,N
434,2685,5479446,ATC,IN,C10AC02,colestipol,N
435,2709,5479450,ATC,IN,A07AA10,colistin,N
436,2709,5479451,ATC,IN,J01XB01,colistin,N
437,2714,5479452,ATC,IN,B02BC07,collagen,N
438,2714,5479453,ATC,IN,G04BX11,collagen,N
439,2736,5477569,ATC,PT,L03AA,Colony stimulating factors,N
440,2830,5477525,ATC,PT,V08,CONTRAST MEDIA,N
441,2878,5479523,ATC,IN,H02AB10,cortisone,N
442,2878,5479524,ATC,IN,S01BA03,cortisone,N
443,2887,5477614,ATC,PT,V07AT,Cosmetics,N
444,2890,5482553,ATC,IN,H01AA02,tetracosactide,N
445,2915,5479530,ATC,IN,R05CA08,creosote,N
446,2970,5479545,ATC,IN,C04AX01,cyclandelate,N
447,2977,5479546,ATC,IN,R06AE03,cyclizine,N
448,2978,5479548,ATC,IN,N05CA10,cyclobarbital,N
449,2983,5479551,ATC,IN,G03GB01,cyclofenil,N
450,3000,5479554,ATC,IN,C03AA07,cyclopenthiazide,N
451,3001,5479557,ATC,IN,S01FA04,cyclopentolate,N
452,3002,5479558,ATC,IN,L01AA01,cyclophosphamide,N
