bnf_chemical_substance,bnf_chapter,bnf_name,bnf_code,drug,form,dose,misc1,combination
Ademetionine,6,6,6,6,6,6,0,6
Adenosine,4,4,4,4,4,4,0,4
Adhesive Remover,4,4,4,4,4,1,0,4
Adhesive Removers,11,11,11,11,11,0,0,11
Adhesives,5,5,5,5,5,1,0,5
Adrenaline,107,107,107,107,107,80,0,107
Adrenaline Hydrochloride,2,2,2,2,2,2,0,2
Aesculus,1,1,1,1,1,0,0,1
Afatinib,11,11,11,11,11,11,0,11
Agalsidase Alfa,4,4,4,4,4,4,0,4
Agalsidase Beta,4,4,4,4,4,4,0,4
Agomelatine,2,2,2,2,2,2,0,2
Albendazole,9,9,9,9,9,9,0,9
Albiglutide,4,4,4,4,4,4,0,4
Albumin Solution,33,33,33,33,27,33,0,33
Alclometasone Dipropionate,5,5,5,5,5,5,0,5
Alcohol,14,14,14,14,7,7,0,14
Alcuronium Chloride,2,2,2,2,2,2,0,2
Aldesleukin,2,2,2,2,2,2,0,2
Alectinib,2,2,2,2,2,2,0,2
Alemtuzumab,4,4,4,4,4,4,0,4
Alendronic Acid,13,13,13,13,13,13,0,13
Alendronic Acid & Colecalciferol,4,4,4,4,4,3,0,4
Alexitol Sodium,3,3,3,3,3,3,0,3
Alfacalcidol,25,25,25,25,25,23,0,25
Alfentanil Hydrochloride,14,14,14,14,14,14,0,14
Alfuzosin Hydrochloride,21,21,21,21,21,21,0,21
Alginic Acid Compound Preparations,71,71,71,71,71,14,0,71
Alglucerase,4,4,4,4,4,4,0,4
Alglucosidase Alfa,2,2,2,2,2,2,0,2
Alimemazine Tartrate,32,32,32,32,32,32,0,32
Alirocumab,4,4,4,4,4,4,0,4
Aliskiren,4,4,4,4,4,4,0,4
Alitretinoin,5,5,5,5,5,5,0,5
Alkyl Sulfate,18,18,18,18,18,11,0,18
Alkyl Sulphate,18,18,18,18,18,3,0,18
Allopurinol,54,54,54,54,54,53,0,54
Allyloestrenol,2,2,2,2,2,2,0,2
Almasilate,2,2,2,2,2,2,0,2
Almitrine Dimesylate,2,2,2,2,2,2,0,2
Almotriptan,2,2,2,2,2,2,0,2
Aloes,4,4,4,4,4,0,0,4
Alogliptin,6,6,6,6,6,6,0,6
Alogliptin/Metformin,2,2,2,2,2,2,0,2
Aloxiprin,3,3,3,3,3,3,0,3
Alprazolam,4,4,4,4,4,4,0,4
Alprostadil,64,64,64,64,64,57,0,64
Alteplase,10,10,10,10,10,10,0,10
Altretamine,4,4,4,4,4,4,0,4
Alum,4,4,4,4,4,4,0,4
Aluminium & Magnesium & Act Simeticone,32,32,32,32,32,2,0,32
Aluminium & Magnesium & Oxetacaine,4,4,4,4,4,0,0,4
Aluminium Acetate,38,38,38,38,38,37,0,38
Aluminium Chloride,25,25,25,25,25,23,0,25
Aluminium Chlorohydrate,6,6,6,6,6,4,0,6
Aluminium Hydroxide,15,15,15,15,15,11,0,15
Aluminium Hydroxide With Magnesium,15,15,15,15,15,4,0,15
Aluminium Oxide,6,6,6,6,6,5,0,6
Aluminium Sulfate,4,4,4,4,4,3,0,4
Alverine Citrate,8,8,8,8,8,8,0,8
Alverine Citrate Compound Preparations,3,3,3,3,3,1,0,3
Alverine Citrate/Simeticone,2,2,2,2,2,2,0,2
Amantadine Hydrochloride,8,8,8,8,8,8,0,8
Ambrisentan,4,4,4,4,4,4,0,4
Ambutonium Bromide,2,2,2,2,2,0,0,2
Amfetamine Sulfate,1,1,1,1,1,1,0,1
Amifostine,4,4,4,4,4,4,0,4
Amikacin,8,8,8,8,8,8,0,8
Amikacin With Sodium Chloride,2,2,2,2,2,1,0,2
Amiloride HCl With Loop Diuretics,3,3,3,3,3,1,0,3
Amiloride Hydrochloride,43,43,43,43,43,39,0,43
Amiloride Hydrochloride With Thiazides,2,2,2,2,2,1,0,2
Amineptine Hydrochloride,1,1,1,1,1,1,0,1
Aminobenzoic Acid,2,2,2,2,2,1,0,2
Aminocaproic Acid,5,5,5,5,5,4,0,5
Aminoglutethimide,2,2,2,2,2,2,0,2
Aminophylline,53,53,53,53,53,52,0,53
Aminophylline Hydrate,9,9,9,9,9,9,0,9
Aminophylline With Antacid,2,2,2,2,2,0,0,2
Aminosalicylic Acid,4,4,4,4,4,4,0,4
Amiodarone Hydrochloride,71,71,71,71,71,70,0,71
Amisulpride,19,19,19,19,19,19,0,19
Amitriptyline Embonate,7,7,7,7,7,7,0,7
Amitriptyline Hydrochloride,62,62,62,62,62,58,0,62
Amlodipine,29,29,29,29,29,29,0,29
Ammoniated Mercury,5,5,5,5,5,2,0,5
Ammonium Acetate,1,1,1,1,1,0,0,1
Ammonium Benzoate,1,1,1,1,1,1,0,1
Ammonium Bicarbonate,3,3,3,3,3,1,0,3
Ammonium Chloride,10,10,10,10,10,8,0,10
Ammonium Chloride/Diphenhydramine HCl,2,2,2,2,2,1,0,2
Ammonium Lactate,2,2,2,2,2,2,0,2
Amobarbital,15,15,15,15,15,15,0,15
Amobarbital Sodium,18,18,18,18,18,18,0,18
Amodiaquine,2,2,2,2,2,2,0,2
Amorolfine Hydrochloride,11,11,11,11,11,11,0,11
Amoxapine,10,10,10,10,10,10,0,10
Amoxicillin,93,93,93,93,93,93,0,93
Amoxicillin Sodium,8,8,8,8,8,8,0,8
Amphoteracin,5,5,5,5,5,5,0,5
Amphotericin,33,33,33,33,33,27,0,33
Ampicillin,51,51,51,51,51,51,0,51
Ampicillin With Cloxacillin,12,12,12,12,12,11,0,12
Ampicillin With Sulbactam,7,7,7,7,7,7,0,7
Amprenavir,6,6,6,6,6,6,0,6
Amsacrine,3,3,3,3,3,3,0,3
Amyl Nitrite,2,2,2,2,2,2,0,2
Amylmetacresol,26,26,26,26,26,6,0,26
Amylocaine Hydrochloride,1,1,1,1,1,1,0,1
Anagrelide Hydrochloride,6,6,6,6,6,6,0,6
Anakinra,2,2,2,2,2,2,0,2
Analgesics with Anti-Emetics,21,21,21,21,21,7,0,21
Anastrozole,5,5,5,5,5,5,0,5
Androstanalone,4,4,4,4,4,4,0,4
Anhydrous Glucose,1,1,1,1,1,0,0,1
Anidulafungin,4,4,4,4,4,4,0,4
Animal Allergy Preparations,7,7,7,7,7,3,0,7
Anistreplase,4,4,4,4,4,4,0,4
Antazoline,5,5,5,5,5,2,0,5
Antazoline Hydrochloride,5,5,5,5,5,1,0,5
Anthrax,1,1,1,1,1,1,0,1
Anti-D (Rh-) Immunoglobulin,31,31,31,31,31,31,0,31
Antilymphocyte Immunoglobulin,2,2,2,2,2,2,0,2
Antisnake Venom Serum,1,1,1,1,0,1,0,1
Antithrombin Alfa,2,2,2,2,2,2,0,2
Antithymocyte Immunoglobulin,2,2,2,2,2,2,0,2
Apalutamide,2,2,2,2,2,2,0,2
Apixaban,4,4,4,4,4,4,0,4
Apomorphine Hydrochloride,37,37,37,37,37,37,0,37
Apomorphine Hydrochloride Hemihydrate,4,4,4,4,4,4,0,4
Apraclonidine,4,4,4,4,4,4,0,4
Apremilast,4,4,4,4,4,2,0,4
Aprepitant,11,11,11,11,11,11,0,11
Aprotinin,13,13,13,13,13,12,0,13
Arachis Oil,7,7,7,7,7,4,0,7
Argipressin,2,2,2,2,2,2,0,2
Aripiprazole,26,26,26,26,26,26,0,26
Arnica Montana,2,2,2,2,2,0,0,2
Arsenic,2,2,2,2,2,2,0,2
Artemether with Lumefantrine,2,2,2,2,2,1,0,2
Articaine Hydrochloride & Adrenaline,2,2,2,2,2,2,0,2
Artificial Saliva,25,25,25,25,25,15,0,25
Ascorbic Acid,144,144,144,144,144,139,0,144
Ascorbic Acid (Eye),1,1,1,1,1,1,0,1
Asenapine,4,4,4,4,4,4,0,4
Asfotase Alfa,8,8,8,8,8,8,0,8
Asparaginase,2,2,2,2,2,2,0,2
Aspirin,145,145,145,145,145,138,0,145
Aspirin & Caffeine,6,6,6,6,6,5,0,6
Aspirin & Papaveretum,3,3,3,3,3,0,0,3
Aspirin & Paracetamol,6,6,6,6,6,3,0,6
Aspirin Combined Preparations,23,23,23,23,23,1,0,23
"Aspirin,Paracetamol & Codeine",1,1,1,1,1,0,0,1
"Aspirin,Phenacetin & Codeine(Codeine Co)",1,1,1,1,1,0,0,1
Astemizole,5,5,5,5,5,5,0,5
Atazanavir,8,8,8,8,8,8,0,8
Atazanavir & Cobicistat,2,2,2,2,2,2,0,2
Atenolol,42,42,42,42,42,41,0,42
Atenolol With Calcium Channel Blocker,3,3,3,3,3,2,0,3
Atenolol With Diuretic,2,2,2,2,2,0,0,2
Atenolol with Thiazides,2,2,2,2,2,1,0,2
Atomoxetine Hydrochloride,25,25,25,25,25,25,0,25
Atorvastatin,28,28,28,28,28,28,0,28
Atosiban,5,5,5,5,5,5,0,5
Atovaquone,4,4,4,4,4,4,0,4
Atracurium Besilate,10,10,10,10,10,10,0,10
Atropine Methonitrate,8,8,8,8,8,6,0,8
Atropine Sulfate,73,73,73,73,73,71,0,73
Auranofin,2,2,2,2,2,2,0,2
Aurothioglucose,4,4,4,4,4,4,0,4
Avanafil,6,6,6,6,6,6,0,6
Avelumab,2,2,2,2,2,2,0,2
Axitinib,8,8,8,8,8,8,0,8
Azacitidine,2,2,2,2,2,2,0,2
Azapropazone,4,4,4,4,4,4,0,4
Azatadine Maleate,5,5,5,5,5,5,0,5
Azathioprine,72,72,72,72,72,71,0,72
Azelaic Acid,4,4,4,4,4,4,0,4
Azelastine Hydrochloride,12,12,12,12,12,12,0,12
Azilsartan Medoxomil,6,6,6,6,6,6,0,6
Azithromycin,15,15,15,15,15,15,0,15
Azlocillin Sodium,11,11,11,11,11,9,0,11
Aztreonam,11,11,11,11,11,9,0,11
Aztreonam With Sodium Chloride,3,3,3,3,3,3,0,3
B-Galactosidase,7,7,7,7,7,0,0,7
B.J.6.,2,2,2,2,2,2,0,2
Bacampicillin Hydrochloride,2,2,2,2,2,2,0,2
Bacillus Calmette-Guerin (B.C.G.),19,19,19,19,19,19,0,19
Baclofen,48,48,48,48,48,47,0,48
Balsalazide Sodium,3,3,3,3,3,3,0,3
Bambuterol Hydrochloride,4,4,4,4,4,4,0,4
Bamethan Sulf,2,2,2,2,2,2,0,2
Barbexaclone,4,4,4,4,4,4,0,4
Barbital Sodium,2,2,2,2,2,2,0,2
Baricitinib,4,4,4,4,4,4,0,4
Basiliximab,4,4,4,4,4,4,0,4
Bay Oil,4,4,4,4,3,0,0,4
Becaplermin,2,2,2,2,2,2,0,2
Beclamide,4,4,4,4,4,4,0,4
BeclometDiprop/Formoterol/Glycopyrronium,1,1,1,1,1,1,0,1
Beclometasone Dipropionate,184,184,184,184,184,165,0,184
Beclometasone Dipropionate (Systemic),2,2,2,2,2,2,0,2
Bedaquiline,2,2,2,2,2,2,0,2
Belatacept,2,2,2,2,2,2,0,2
Belimumab,4,4,4,4,4,4,0,4
Belladonna & Ipecacuanha,1,1,1,1,1,0,0,1
Belladonna Alkaloids,14,14,14,14,14,5,0,14
Belladonna Root,1,1,1,1,1,0,0,1
Bemiparin Sodium,10,10,10,10,10,10,0,10
Benazepril Hydrochloride,2,2,2,2,2,2,0,2
Bendroflumethiazide,35,35,35,35,35,34,0,35
Bendroflumethiazide/Potassium,4,4,4,4,4,2,0,4
Benethamine Penicillin,3,3,3,3,3,2,0,3
Benethamine Penicillin/Benzylpenicillin,2,2,2,2,2,2,0,2
Benorilate,8,8,8,8,8,8,0,8
Benperidol,6,6,6,6,6,6,0,6
Benralizumab,2,2,2,2,2,2,0,2
Benserazide Hydrochloride,2,2,2,2,2,2,0,2
Benzalkonium Chloride,20,20,20,20,20,17,0,20
Benzathine Penicillin,21,21,21,21,21,18,0,21
Benzatropine Mesilate,7,7,7,7,7,7,0,7
Benzbromarone,4,4,4,4,4,4,0,4
Benznidazole,1,1,1,1,1,1,0,1
Benzocaine,70,70,70,70,70,44,0,70
Benzoic Acid,3,3,3,3,3,0,0,3
Benzoin,2,2,2,2,2,0,0,2
Benzoyl Peroxide,92,92,92,92,92,76,0,92
Benzoyl Peroxide & Clindamycin Phosphate,4,4,4,4,4,2,0,4
Benzydamine Hydrochloride,14,14,14,14,14,14,0,14
Benzyl Benzoate,6,6,6,6,6,4,0,6
Benzyl Salicylate,1,1,1,1,1,1,0,1
Benzylpenicillin (Penicillin G),7,7,7,7,7,7,0,7
Benzylpenicillin Sod,12,12,12,12,12,2,0,12
Benzylpenicillin Sodium (Penicillin G),13,13,13,13,13,13,0,13
Benzylthiouracil,2,2,2,2,2,2,0,2
Bephenium Hydroxynaphthoate,2,2,2,2,2,2,0,2
Bergamot Oil,1,1,1,1,1,0,0,1
Betacarotene,76,76,76,76,76,73,0,76
Betahistine Hydrochloride,9,9,9,9,9,9,0,9
Betaine Anhydrous,7,7,7,7,7,5,0,7
Betaine Hydrochloride,7,7,7,7,7,6,0,7
Betamethasone,8,8,8,8,8,3,0,8
Betamethasone Esters,20,20,20,20,20,10,0,20
Betamethasone Sodium Phosphate,23,23,23,23,23,15,0,23
Betamethasone Valerate,135,135,135,134,134,50,0,135
Betanidine Sulfate,7,7,7,7,7,7,0,7
Betaxolol,7,7,7,7,7,6,0,7
Betaxolol Hydrochloride,2,2,2,2,2,2,0,2
Bethanechol Chloride,9,9,9,9,9,8,0,9
Bevacizumab,5,5,5,5,5,5,0,5
Bexarotene,2,2,2,2,2,2,0,2
Bezafibrate,9,9,9,9,9,9,0,9
Bicalutamide,6,6,6,6,6,6,0,6
Bictegravir/Emtricitabine/Tenofovir Alaf,2,2,2,2,2,1,0,2
Bifonazole,3,3,3,3,3,2,0,3
Bilastine,2,2,2,2,2,2,0,2
Bimatoprost,9,9,9,9,9,9,0,9
Binimetinib,2,2,2,2,2,2,0,2
Biperiden Hydrochloride,5,5,5,5,5,5,0,5
Biperiden Lactate,2,2,2,2,2,2,0,2
Biphasic Insulin Aspart,4,4,4,4,4,4,0,4
Biphasic Insulin Injection,2,2,2,2,1,2,0,2
Biphasic Insulin Lispro,12,12,12,12,2,12,0,12
Biphasic Isophane Insulin,124,124,124,124,51,80,0,124
Bisacodyl,36,36,36,36,36,33,0,36
Bismuth Chelate,2,2,2,2,2,2,0,2
Bismuth Salts,1,1,1,1,1,0,0,1
Bismuth Subcarbonate,3,3,3,3,3,0,0,3
Bismuth Subgallate,2,2,2,2,2,2,0,2
Bisoprolol Fumarate,58,58,58,58,58,58,0,58
Bisoprolol Fumarate With Diuretic,2,2,2,2,2,1,0,2
Bisoprolol Fumarate/Aspirin,4,4,4,4,4,4,0,4
Bleomycin,6,6,6,6,6,6,0,6
Boceprevir,2,2,2,2,2,2,0,2
Borax,5,5,5,5,5,1,0,5
Boric Acid,10,10,10,10,10,5,0,10
Bortezomib,2,2,2,2,2,2,0,2
Bosentan,6,6,6,6,6,6,0,6
Bosutinib,6,6,6,6,6,6,0,6
Botulinum Toxin Type A,20,20,20,20,20,20,0,20
Botulinum Toxin Type B,6,6,6,6,6,6,0,6
Bowel Cleansing Solutions,6,6,6,6,6,0,0,6
Bran,11,11,11,11,11,2,0,11
Bretylium Tosilate,6,6,6,6,6,6,0,6
Brigatinib,6,6,6,6,6,6,0,6
Brilliant Green,6,6,6,6,6,3,0,6
Brimonidine Tart (Rosacea),2,2,2,2,2,2,0,2
Brimonidine Tartrate,3,3,3,3,3,3,0,3
Brinzolamide,2,2,2,2,2,2,0,2
Brinzolamide & Timolol,2,2,2,2,2,2,0,2
Brinzolamide/Brimonidine,2,2,2,2,2,2,0,2
Brivaracetam,14,14,14,14,14,14,0,14
Brodalumab (Psoriasis),2,2,2,2,2,2,0,2
Bromazepam,2,2,2,2,2,2,0,2
Bromelains,2,2,2,2,2,1,0,2
Bromfenac,2,2,2,2,2,2,0,2
Bromhexine Hydrochloride,6,6,6,6,6,6,0,6
Bromine Complexes,2,2,2,2,2,2,0,2
Bromocriptine,16,16,16,16,16,14,0,16
Bromperidol,2,2,2,2,2,2,0,2
Brompheniramine Maleate,11,11,11,11,11,11,0,11
Brompheniramine Maleate Combinations,9,9,9,9,9,0,0,9
Buclizine Hydrochloride,2,2,2,2,2,1,0,2
Budesonide,93,93,93,93,93,90,0,93
Bufexamac,3,3,3,3,3,2,0,3
Buflomedil Hydrochloride,5,5,5,5,5,5,0,5
Bumetanide,15,15,15,15,15,15,0,15
Bumetanide/Amiloride Hydrochloride,1,1,1,1,1,1,0,1
Bumetanide/Potassium,2,2,2,2,2,1,0,2
Bupivacaine Hydrochloride,39,39,39,39,39,39,0,39
Bupivacaine Hydrochloride & Fentanyl Cit,5,5,5,5,5,5,0,5
Buprenorph HCl/Naloxone HCl,6,6,6,6,6,3,0,6
Buprenorphine,68,68,68,68,68,68,0,68
Buprenorphine Hydrochloride,44,44,44,44,44,44,0,44
Bupropion Hydrochloride,8,8,8,8,8,8,0,8
Buserelin,8,8,8,8,8,8,0,8
Buspirone Hydrochloride,6,6,6,6,6,6,0,6
Busulfan,10,10,10,10,10,10,0,10
Butobarbital,3,3,3,3,3,3,0,3
Butorphanol Tartrate,2,2,2,2,2,2,0,2
Butriptyline,6,6,6,6,6,6,0,6
C1-Esterase Inhibitor,12,12,12,12,12,12,0,12
Cabergoline,8,8,8,8,8,8,0,8
Cabozantinib,10,10,10,10,10,10,0,10
Cade Oil,13,13,13,13,13,7,0,13
Cadexomer Iodine,12,12,12,12,12,12,0,12
Caffeine,10,10,10,10,10,5,0,10
Caffeine & Sodium Iodide,5,5,5,5,5,1,0,5
Caffeine Citrate,23,23,23,23,23,22,0,23
Calamine,19,19,19,19,19,2,0,19
Calc Folinate,49,49,49,49,49,48,0,49
Calc Levofolinate,6,6,6,6,6,6,0,6
Calcipotriol,17,17,17,17,17,15,0,17
Calcitonin,4,4,4,4,4,4,0,4
Calcitonin (salmon),16,16,16,16,16,16,0,16
Calcitriol,15,15,15,15,15,15,0,15
Calcium Acetate,14,14,14,14,14,14,0,14
Calcium Acetate/Magnesium Carbonate,2,2,2,2,2,2,0,2
Calcium Carbonate,113,113,113,113,113,99,0,113
Calcium Carbonate & Simeticone,2,2,2,2,2,0,0,2
Calcium Chloride,14,14,14,14,14,13,0,14
Calcium Citrate,4,4,4,4,4,4,0,4
Calcium Dobesilate,4,4,4,4,4,4,0,4
Calcium Glubionate,2,2,2,2,2,2,0,2
Calcium Gluconate,23,23,23,23,23,23,0,23
Calcium Hydroxide,1,1,1,1,1,0,0,1
Calcium Lactate,9,9,9,9,9,9,0,9
Calcium Phosphate,7,7,7,7,7,7,0,7
Calcium Polystyrene Sulfonate,7,7,7,7,7,3,0,7
Calcium Sulfaloxate,2,2,2,2,2,1,0,2
Camellia Sinensis Extract,2,2,2,2,2,2,0,2
Camphor,6,6,6,6,6,0,0,6
Canagliflozin,4,4,4,4,4,4,0,4
Canagliflozin/Metformin,4,4,4,4,4,4,0,4
Canakinumab,4,4,4,4,4,4,0,4
Candesartan Cilexetil,22,22,22,22,22,22,0,22
Cannabidiol,4,4,4,4,4,4,0,4
Cantharides,1,1,1,1,1,0,0,1
Cantharidin,4,4,4,4,4,2,0,4
Capecitabine,5,5,5,5,5,5,0,5
Capreomycin,2,2,2,2,2,2,0,2
Capsaicin,9,9,9,9,9,9,0,9
Capsicum,9,9,9,9,9,7,0,9
Captopril,135,135,135,135,135,132,0,135
Carbachol,13,13,13,13,13,13,0,13
Carbamazepine,59,59,59,59,59,57,0,59
Carbaryl,17,17,17,17,17,15,0,17
Carbenicillin Sod With Sod Chloride,3,3,3,3,3,3,0,3
Carbenicillin Sodium,5,5,5,5,5,4,0,5
Carbenoxolone Sodium,12,12,12,12,12,12,0,12
Carbenoxolone Sodium Compound Prep's,4,4,4,4,4,0,0,4
Carbetocin,4,4,4,4,4,4,0,4
Carbidopa,2,2,2,2,2,2,0,2
Carbimazole,27,27,27,27,27,26,0,27
Carbinoxamine Maleate,1,1,1,1,1,0,0,1
Carbocisteine,14,14,14,14,14,14,0,14
Carbomer,4,4,4,4,4,4,0,4
Carbomer 940/980,11,11,11,11,11,10,0,11
Carbomer 974P,2,2,2,2,2,2,0,2
Carboplatin,14,14,14,14,14,14,0,14
Carboprost,2,2,2,2,2,2,0,2
Carfecillin Sodium,3,3,3,3,3,3,0,3
Carglumic Acid,3,3,3,3,3,3,0,3
Cariprazine,8,8,8,8,8,8,0,8
Carisoprodol,4,4,4,4,4,4,0,4
Carmellose Sodium,15,15,15,15,15,8,0,15
Carmustine,5,5,5,5,5,5,0,5
Carteolol Hydrochloride,6,6,6,6,6,6,0,6
Carvedilol,19,19,19,19,19,19,0,19
Cascara,5,5,5,5,5,2,0,5
Caspofungin,4,4,4,4,4,4,0,4
Castor Oil,4,4,4,4,4,0,0,4
Catarrh,6,6,6,6,6,6,0,6
Catheter Patency Solutions,19,19,19,19,19,19,0,19
Catumaxomab,4,4,4,4,4,4,0,4
Cefaclor,24,24,24,24,24,24,0,24
Cefadroxil,8,8,8,8,8,8,0,8
Cefalexin,55,55,55,55,55,53,0,55
Cefalotin,2,2,2,2,2,2,0,2
Cefamandole,6,6,6,6,6,6,0,6
Cefazolin Sodium,7,7,7,7,7,7,0,7
Cefepime,4,4,4,4,4,4,0,4
Cefixime,5,5,5,5,5,5,0,5
Cefodizime Sodium,2,2,2,2,2,2,0,2
Cefotaxime Sodium,9,9,9,9,9,7,0,9
Cefoxitin Sodium,9,9,9,9,9,9,0,9
Cefpirome Sulfate,4,4,4,4,4,4,0,4
Cefpodoxime,4,4,4,4,4,4,0,4
Cefprozil,6,6,6,6,6,6,0,6
Cefradine,14,14,14,14,14,14,0,14
Cefradine With Sodium Chloride,2,2,2,2,2,2,0,2
Cefsulodin Sodium,4,4,4,4,4,4,0,4
Ceftazidime,1,1,1,1,1,1,0,1
Ceftazidime Pentahydrate,21,21,21,21,21,20,0,21
Ceftazidime With Sodium Chloride,23,23,23,23,23,23,0,23
Ceftibuten,6,6,6,6,6,6,0,6
Ceftizoxime Sodium,6,6,6,6,6,6,0,6
Ceftriaxone Sodium,9,9,9,9,9,9,0,9
Cefuroxime Axetil,8,8,8,8,8,8,0,8
Cefuroxime Sodium,19,19,19,19,19,18,0,19
Celecoxib,8,8,8,8,8,8,0,8
Celiprolol Hydrochloride,5,5,5,5,5,5,0,5
Ceratonia,2,2,2,2,2,0,0,2
Cerivastatin,10,10,10,10,10,10,0,10
Certolizumab Pegol,4,4,4,4,4,4,0,4
Certoparin Sod  Sodium,4,4,4,4,4,4,0,4
Cetirizine Hydrochloride,34,34,34,34,34,28,0,34
Cetomacrogol,5,5,5,5,5,0,0,5
Cetrimide,50,50,50,50,50,34,0,50
Cetrorelix,4,4,4,4,4,4,0,4
Cetuximab,6,6,6,6,6,6,0,6
Cetylpyridinium Chloride,22,22,22,22,22,9,0,22
Chalk,4,4,4,4,4,0,0,4
Charcoal,26,26,26,26,26,10,0,26
Chenodeoxycholic Acid,24,24,24,24,24,20,0,24
Chlohexidine Gluconate (Emollient),2,2,2,2,2,2,0,2
Chloral Hydrate,48,48,48,48,48,46,0,48
Chlorambucil,4,4,4,4,4,4,0,4
Chloramphenicol,55,55,55,55,55,50,0,55
Chlordiazepoxide,8,8,8,8,8,8,0,8
Chlordiazepoxide Hydrochloride,32,32,32,32,32,31,0,32
Chlorhex HCl,2,2,2,2,2,1,0,2
Chlorhexidine Acetate,68,68,68,68,67,66,0,68
Chlorhexidine Gluconate,183,183,183,183,180,142,0,183
Chlorhexidine Hydrochloride,4,4,4,4,4,1,0,4
Chlorinated Lime,9,9,9,9,8,1,0,9
Chlorine,1,1,1,1,1,0,0,1
Chlormethine Hydrochloride,4,4,4,4,4,4,0,4
Chlormezanone,3,3,3,3,3,3,0,3
Chlorobutanol,1,1,1,1,1,0,0,1
Chloroprocaine Hydrochloride,2,2,2,2,2,2,0,2
Chloroquine Phosphate,6,6,6,6,6,5,0,6
Chloroquine Phosphate with Proguanil HCl,3,3,3,3,3,1,0,3
Chloroquine Sulfate,11,11,11,11,11,10,0,11
Chlorothiazide,92,92,92,92,92,91,0,92
Chlorotrianisene,2,2,2,2,2,2,0,2
Chloroxylenol,8,8,8,8,8,2,0,8
Chlorphenamine Maleate,40,40,40,40,40,36,0,40
Chlorphenesin,3,3,3,3,3,3,0,3
Chlorphenoxamine Hydrochloride,1,1,1,1,1,0,0,1
Chlorpromazine Hydrochloride,49,49,49,49,49,47,0,49
Chlorpropamide,13,13,13,13,13,13,0,13
Chlorprothixene,8,8,8,8,8,8,0,8
Chlorquinaldol,3,3,3,3,3,3,0,3
Chlortalidone,13,13,13,13,13,13,0,13
Chlortalidone/Potassium,2,2,2,2,2,1,0,2
Chlortetracycline Hydrochloride,16,16,16,16,16,12,0,16
Chlorzoxazone,1,1,1,1,1,1,0,1
Cholera,13,13,13,13,13,9,0,13
Cholesterol,13,13,13,13,13,13,0,13
Cholesterol/Simvastatin,1,1,1,1,1,1,0,1
Cholic Acid,13,13,13,13,13,13,0,13
Choline Magnesium Trisalicylate,2,2,2,2,2,2,0,2
Choline Salicylate,5,5,5,5,5,5,0,5
Choline Theophyllinate,18,18,18,18,16,18,0,18
Chondroitin  Sulphate A,1,1,1,1,1,1,0,1
Choriogonadotropin Alfa,6,6,6,6,6,6,0,6
Chorionic Gonadotrophin,22,22,22,22,22,22,0,22
Chromium Trichloride,1,1,1,1,1,1,0,1
Chrysarobin,1,1,1,1,1,1,0,1
Chymotrypsin,11,11,11,11,10,7,0,11
Ciclacillin,8,8,8,8,8,8,0,8
Ciclesonide,6,6,6,6,6,6,0,6
