,rxcui,rxaui,sab,tty,ATC code,ATC level name,suppress,mapped_to_bnf
37,336,5477777,ATC,PT,L03A,IMMUNOSTIMULANTS,N,N
38,371,5474400,ATC,RXN_PT,C07,beta-Adrenergic Blocking Agents,N,N
39,371,5477440,ATC,PT,C07,BETA BLOCKING AGENTS,N,N
40,371,5477441,ATC,PT,C07A,BETA BLOCKING AGENTS,N,N
41,376,5479522,ATC,IN,H01AA01,corticotropin,N,Y
42,411,5480988,ATC,IN,V03AN05,medical air,N,N
43,423,5478528,ATC,IN,C01BA05,ajmaline,N,N
44,430,5478531,ATC,IN,P02CA03,albendazole,N,Y
45,433,5478533,ATC,IN,B05AA01,albumin,N,N
46,435,5482182,ATC,IN,R03AC02,salbutamol,N,Y
47,435,5482183,ATC,IN,R03CC02,salbutamol,N,Y
48,437,5478537,ATC,IN,M01AB06,alclofenac,N,Y
49,448,5480013,ATC,IN,D08AX08,ethanol,N,Y
50,448,5480014,ATC,IN,V03AB16,ethanol,N,Y
51,448,5480015,ATC,IN,V03AZ01,ethanol,N,Y
52,460,5478540,ATC,IN,M03AA01,alcuronium,N,Y
53,475,5477323,ATC,PT,C03DA,Aldosterone antagonists,N,N
54,480,5478553,ATC,IN,N01AH02,alfentanil,N,Y
55,504,5477202,ATC,PT,L01A,ALKYLATING AGENTS,N,N
56,510,5477207,ATC,PT,V01,ALLERGENS,N,N
57,510,5477208,ATC,PT,V01A,ALLERGENS,N,N
58,516,5478569,ATC,IN,N05CA21,allobarbital,N,N
59,519,5478570,ATC,IN,M04AA01,allopurinol,N,Y
60,525,5478572,ATC,IN,G03DC01,allylestrenol,N,Y
61,528,5478576,ATC,IN,R07AB07,almitrine,N,N
62,535,5478550,ATC,IN,B02AB02,alfa1 antitrypsin,N,N
63,541,5480636,ATC,IN,L03AB01,interferon alfa natural,N,N
64,569,5479890,ATC,IN,D11AX16,eflornithine,N,N
65,569,5479891,ATC,IN,P01CX03,eflornithine,N,N
66,596,5478583,ATC,IN,N05BA12,alprazolam,N,Y
67,597,5478584,ATC,IN,C07AA01,alprenolol,N,Y
68,598,5478585,ATC,IN,C01EA01,alprostadil,N,Y
69,598,5478586,ATC,IN,G04BE01,alprostadil,N,Y
70,612,5478601,ATC,IN,A02AB01,aluminium hydroxide,N,Y
71,613,5478556,ATC,IN,A02AB02,algeldrate,N,N
72,615,5478603,ATC,IN,D10AX04,aluminium oxide,N,Y
73,620,5478609,ATC,IN,N04BB01,amantadine,N,Y
74,623,5478611,ATC,IN,N07AA30,ambenonium,N,N
75,625,5478613,ATC,IN,R05CB06,ambroxol,N,N
76,626,5480979,ATC,IN,J01CA11,mecillinam,N,Y
77,627,5481821,ATC,IN,J01CA08,pivmecillinam,N,Y
78,632,5481243,ATC,IN,L01DC03,mitomycin,N,Y
79,641,5478621,ATC,IN,D06AX12,amikacin,N,Y
80,641,5478622,ATC,IN,J01GB06,amikacin,N,Y
81,641,5478623,ATC,IN,S01AA21,amikacin,N,Y
82,644,5478624,ATC,IN,C03DB01,amiloride,N,Y
83,645,5478628,ATC,IN,D08AA02,aminoacridine,N,N
84,677,5478632,ATC,IN,L02BG01,aminoglutethimide,N,Y
85,683,5478634,ATC,IN,L01XD04,aminolevulinic acid,N,N
86,689,5478639,ATC,IN,R03DA05,aminophylline,N,Y
87,695,5478636,ATC,IN,N02BB03,aminophenazone,N,N
88,703,5478642,ATC,IN,C01BD01,amiodarone,N,Y
89,704,5478644,ATC,IN,N06AA09,amitriptyline,N,Y
90,712,5478649,ATC,IN,B05XA04,ammonium chloride,N,Y
91,712,5478650,ATC,IN,G04BA01,ammonium chloride,N,Y
92,719,5478651,ATC,IN,N05CA02,amobarbital,N,Y
93,720,5478652,ATC,IN,P01BA06,amodiaquine,N,Y
94,722,5478654,ATC,IN,N06AA17,amoxapine,N,Y
95,723,5478655,ATC,IN,J01CA04,amoxicillin,N,Y
96,725,5478618,ATC,IN,N06BA01,amfetamine,N,Y
97,732,5478657,ATC,IN,A01AB04,amphotericin B,N,N
98,732,5478658,ATC,IN,A07AA07,amphotericin B,N,N
99,732,5478659,ATC,IN,G01AA03,amphotericin B,N,N
100,732,5478660,ATC,IN,J02AA01,amphotericin B,N,N
101,733,5478661,ATC,IN,J01CA01,ampicillin,N,Y
102,733,5478662,ATC,IN,S01AA19,ampicillin,N,Y
103,738,5478666,ATC,IN,C01CE01,amrinone,N,N
104,739,5478668,ATC,IN,L01XX01,amsacrine,N,Y
105,742,5478669,ATC,IN,V03AB22,amyl nitrite,N,Y
106,743,5479685,ATC,IN,A09AA01,diastase,N,N
107,760,5477213,ATC,PT,N02,ANALGESICS,N,N
108,761,5477925,ATC,PT,N02A,OPIOIDS,N,N
109,761,5484968,ATC,RXN_PT,N02A,OPIOID ANALGESICS,N,N
110,772,5478674,ATC,IN,B01AD09,ancrod,N,N
111,777,5477214,ATC,PT,G03B,ANDROGENS,N,N
112,817,5477216,ATC,PT,N01,ANESTHETICS,N,N
113,819,5475828,ATC,RXN_PT,N01B,LOCAL ANESTHETICS,N,N
114,819,5477218,ATC,PT,N01B,"ANESTHETICS, LOCAL",N,N
115,820,5478678,ATC,IN,A16AX02,anethole trithione,N,N
116,830,5478679,ATC,IN,C01CX06,angiotensinamide,N,N
117,863,5477221,ATC,PT,A02A,ANTACIDS,N,N
118,865,5478685,ATC,IN,R01AC04,antazoline,N,Y
119,865,5478686,ATC,IN,R06AX05,antazoline,N,Y
120,868,5477223,ATC,PT,P02,ANTHELMINTICS,N,N
121,873,5479824,ATC,IN,D05AC01,dithranol,N,Y
122,897,5477209,ATC,PT,J01G,AMINOGLYCOSIDE ANTIBACTERIALS,N,N
123,901,5474377,ATC,RXN_PT,J04AB,"Antibiotics, Antitubercular",N,N
124,901,5477386,ATC,PT,J04AB,Antibiotics,N,N
125,927,5477243,ATC,PT,N06A,ANTIDEPRESSANTS,N,N
126,930,5477397,ATC,PT,V03AB,Antidotes,N,N
127,932,5477248,ATC,PT,N03,ANTIEPILEPTICS,N,N
128,932,5477249,ATC,PT,N03A,ANTIEPILEPTICS,N,N
129,934,5477250,ATC,PT,B02A,ANTIFIBRINOLYTICS,N,N
130,968,5477260,ATC,PT,C02,ANTIHYPERTENSIVES,N,N
131,975,5477274,ATC,PT,P01B,ANTIMALARIALS,N,N
132,976,5477275,ATC,PT,L01B,ANTIMETABOLITES,N,N
133,987,5477280,ATC,PT,P02C,ANTINEMATODAL AGENTS,N,N
134,988,5477281,ATC,PT,L01,ANTINEOPLASTIC AGENTS,N,N
135,995,5477229,ATC,PT,N04,ANTI-PARKINSON DRUGS,N,N
136,998,5477287,ATC,PT,P01,ANTIPROTOZOALS,N,N
137,1001,5481709,ATC,IN,N02BB01,phenazone,N,Y
138,1001,5481710,ATC,IN,S02DA03,phenazone,N,Y
139,1009,5478694,ATC,IN,B01AB02,antithrombin III,N,N
140,1029,5478764,ATC,IN,M01AX04,azapropazone,N,Y
141,1043,5478697,ATC,IN,G04BE07,apomorphine,N,Y
142,1043,5478698,ATC,IN,N04BC07,apomorphine,N,Y
143,1054,5478701,ATC,IN,C01BB04,aprindine,N,N
144,1056,5478704,ATC,IN,B02AB01,aprotinin,N,Y
145,1098,9716375,ATC,IN,H01BA01,vasopressin (argipressin),N,N
146,1151,5478728,ATC,IN,G01AD03,ascorbic acid,N,Y
147,1151,5478729,ATC,IN,S01XA15,ascorbic acid,N,Y
148,1151,5478730,ATC,IN,A11GA01,ascorbic acid (vit C),N,Y
149,1151,5483205,ATC,RXN_IN,A11GA01,ascorbic acid,N,Y
150,1156,5478733,ATC,IN,L01XX02,asparaginase,N,Y
151,1191,5478494,ATC,IN,A01AD05,acetylsalicylic acid,N,N
152,1191,5478495,ATC,IN,B01AC06,acetylsalicylic acid,N,N
153,1191,5478496,ATC,IN,N02BA01,acetylsalicylic acid,N,N
154,1202,5478737,ATC,IN,C07AB03,atenolol,N,Y
155,1218,5478749,ATC,IN,M03AC04,atracurium,N,N
156,1223,5478750,ATC,IN,A03BA01,atropine,N,Y
157,1223,5478751,ATC,IN,S01FA01,atropine,N,Y
158,1227,5478755,ATC,IN,M01CB03,auranofin,N,Y
159,1251,5478760,ATC,IN,L01BC07,azacitidine,N,Y
160,1256,5478766,ATC,IN,L04AX01,azathioprine,N,Y
161,1266,5478776,ATC,IN,J01CA09,azlocillin,N,Y
162,1272,5478777,ATC,IN,J01DF01,aztreonam,N,Y
163,1291,5478779,ATC,IN,D06AX05,bacitracin,N,N
164,1291,5478780,ATC,IN,J01XX10,bacitracin,N,N
165,1291,5478781,ATC,IN,R02AB04,bacitracin,N,N
166,1292,5478782,ATC,IN,M03BX01,baclofen,N,Y
167,1306,5477437,ATC,PT,J07A,BACTERIAL VACCINES,N,N
168,1321,5478785,ATC,IN,C04AA31,bamethan,N,N
169,1325,5478790,ATC,IN,N05CA04,barbital,N,Y
170,1344,5477438,ATC,IN,L03AX03,BCG vaccine,N,N
171,1347,5478801,ATC,IN,A07EA07,beclometasone,N,Y
172,1347,5478802,ATC,IN,D07AC15,beclometasone,N,Y
173,1347,5478803,ATC,IN,R01AD01,beclometasone,N,Y
174,1347,5478804,ATC,IN,R03BA01,beclometasone,N,Y
175,1360,5478812,ATC,IN,R07AB05,bemegride,N,N
176,1367,5478816,ATC,IN,C04AX11,bencyclane,N,N
177,1369,5478820,ATC,IN,C03AA01,bendroflumethiazide,N,Y
178,1372,5478826,ATC,IN,N02BA10,benorilate,N,Y
179,1373,5478828,ATC,IN,N05AD07,benperidol,N,Y
180,1378,5478831,ATC,IN,D08AJ01,benzalkonium,N,Y
181,1378,5478832,ATC,IN,D09AA11,benzalkonium,N,Y
182,1378,5478833,ATC,IN,R02AA16,benzalkonium,N,Y
183,1385,5478837,ATC,IN,M04AB03,benzbromarone,N,Y
184,1388,5480849,ATC,IN,P03AB02,lindane,N,Y
185,1390,5478838,ATC,IN,R02AA09,benzethonium,N,N
186,1399,5478845,ATC,IN,C05AD03,benzocaine,N,Y
187,1399,5478846,ATC,IN,D04AB04,benzocaine,N,Y
188,1399,5478847,ATC,IN,N01BA05,benzocaine,N,Y
189,1399,5478848,ATC,IN,R02AD01,benzocaine,N,Y
190,1418,5478854,ATC,IN,D10AE01,benzoyl peroxide,N,Y
191,1424,5478836,ATC,IN,N04AC01,benzatropine,N,Y
192,1425,5478856,ATC,IN,A01AD02,benzydamine,N,Y
193,1425,5478857,ATC,IN,G02CC03,benzydamine,N,Y
194,1425,5478858,ATC,IN,M01AX07,benzydamine,N,Y
195,1425,5478859,ATC,IN,M02AA05,benzydamine,N,Y
196,1425,9716293,ATC,IN,R02AX03,benzydamine,N,Y
197,1426,7717180,ATC,IN,P03AX06,benzyl alcohol,N,N
198,1436,5478865,ATC,IN,C08EA02,bepridil,N,N
199,1511,5478871,ATC,IN,N07CA01,betahistine,N,Y
200,1512,5478872,ATC,IN,A16AA06,betaine,N,Y
201,1514,5478874,ATC,IN,A07EA04,betamethasone,N,Y
202,1514,5478875,ATC,IN,C05AA05,betamethasone,N,Y
203,1514,5478876,ATC,IN,D07AC01,betamethasone,N,N
204,1514,5478877,ATC,IN,D07XC01,betamethasone,N,Y
205,1514,5478878,ATC,IN,H02AB01,betamethasone,N,N
206,1514,5478879,ATC,IN,R01AD06,betamethasone,N,Y
207,1514,5478880,ATC,IN,R03BA04,betamethasone,N,Y
208,1514,5478881,ATC,IN,S01BA06,betamethasone,N,Y
209,1514,5478882,ATC,IN,S01CB04,betamethasone,N,Y
210,1514,5478883,ATC,IN,S02BA07,betamethasone,N,Y
211,1514,5478884,ATC,IN,S03BA03,betamethasone,N,Y
212,1520,5478891,ATC,IN,C07AB05,betaxolol,N,Y
213,1520,5478892,ATC,IN,S01ED02,betaxolol,N,Y
214,1521,5478894,ATC,IN,V04CG02,betazole,N,N
215,1523,5478890,ATC,IN,C02CC01,betanidine,N,Y
216,1525,5478903,ATC,IN,C10AB02,bezafibrate,N,Y
217,1588,5478919,ATC,IN,A11HA05,biotin,N,N
218,1589,5478920,ATC,IN,N04AA02,biperiden,N,Y
219,1596,5478922,ATC,IN,A06AB02,bisacodyl,N,Y
220,1596,5478923,ATC,IN,A06AG02,bisacodyl,N,Y
221,1598,5479710,ATC,IN,B01AA01,dicoumarol,N,N
222,1605,5478934,ATC,IN,D10AB01,bithionol,N,N
223,1605,5478935,ATC,IN,P02BX01,bithionol,N,N
224,1622,5478938,ATC,IN,L01DC01,bleomycin,N,Y
225,1637,5477499,ATC,PT,B02BD,Blood coagulation factors,N,N
226,1700,5478943,ATC,IN,S02AA03,boric acid,N,Y
227,1711,5478948,ATC,IN,J06AA04,botulinum antitoxin,N,N
228,1716,5478949,ATC,IN,M03AX01,botulinum toxin,N,N
229,1737,5478951,ATC,IN,C01BD02,bretylium tosilate,N,Y
230,1745,5478954,ATC,IN,B01AD06,brinase,N,N
231,1749,5478958,ATC,IN,N05BA08,bromazepam,N,Y
232,1752,5936867,ATC,IN,D03BA03,bromelains,N,Y
233,1752,6821799,ATC,IN,M09AB03,bromelains,N,Y
234,1753,5478962,ATC,IN,R05CB02,bromhexine,N,Y
235,1754,5478963,ATC,IN,N05CM11,bromides,N,N
236,1757,5478964,ATC,IN,N05CM03,bromisoval,N,N
237,1760,5478966,ATC,IN,G02CB01,bromocriptine,N,Y
238,1760,5478967,ATC,IN,N04BC01,bromocriptine,N,Y
239,1767,5478970,ATC,IN,R06AB01,brompheniramine,N,Y
240,1796,5478989,ATC,IN,M01AB17,bufexamac,N,Y
241,1796,5478990,ATC,IN,M02AA09,bufexamac,N,Y
242,1803,5478992,ATC,IN,A10BA03,buformin,N,N
243,1808,5478995,ATC,IN,C03CA02,bumetanide,N,Y
244,1809,5478998,ATC,IN,C01BD03,bunaftine,N,N
245,1813,5480811,ATC,IN,S01ED03,levobunolol,N,Y
246,1815,5479001,ATC,IN,N01BB01,bupivacaine,N,Y
247,1817,5479003,ATC,IN,C07AA19,bupranolol,N,N
248,1819,5479004,ATC,IN,N02AE01,buprenorphine,N,Y
249,1819,5479005,ATC,IN,N07BC01,buprenorphine,N,Y
250,1825,5479008,ATC,IN,L02AE01,buserelin,N,Y
251,1827,5479009,ATC,IN,N05BE01,buspirone,N,Y
252,1828,5479010,ATC,IN,L01AB01,busulfan,N,Y
253,1837,5479014,ATC,IN,N05AB09,butaperazine,N,N
254,1841,5479019,ATC,IN,N02AF01,butorphanol,N,Y
255,1884,5479200,ATC,IN,V04CC04,ceruletide,N,N
256,1886,5479031,ATC,IN,N06BC01,caffeine,N,Y
257,1889,5479033,ATC,IN,A11CC06,calcifediol,N,N
258,1894,5479039,ATC,IN,A11CC04,calcitriol,N,Y
259,1894,5479040,ATC,IN,D05AX03,calcitriol,N,Y
260,1897,5479047,ATC,IN,A02AC01,calcium carbonate,N,Y
261,1897,5479048,ATC,IN,A12AA04,calcium carbonate,N,Y
262,1899,5477510,ATC,PT,C08,CALCIUM CHANNEL BLOCKERS,N,N
263,1901,5479049,ATC,IN,A12AA07,calcium chloride,N,Y
264,1901,5479050,ATC,IN,B05XA07,calcium chloride,N,Y
265,1901,5479051,ATC,IN,G04BA03,calcium chloride,N,Y
266,1902,5479046,ATC,IN,N07BB02,calcium carbimide,N,N
267,1904,5479054,ATC,IN,C05BX01,calcium dobesilate,N,Y
268,1908,5479059,ATC,IN,A12AA03,calcium gluconate,N,Y
269,1908,5479060,ATC,IN,D11AX03,calcium gluconate,N,Y
270,1911,5479063,ATC,IN,V08AC10,calcium iopodate,N,N
271,1917,5479068,ATC,IN,A12AA11,calcium pangamate,N,N
272,1918,5479069,ATC,IN,A11HA31,calcium pantothenate,N,N
273,1918,5479070,ATC,IN,D03AX04,calcium pantothenate,N,N
274,1919,5479071,ATC,IN,A12AA01,calcium phosphate,N,Y
275,1950,5479073,ATC,IN,N05BA15,camazepam,N,N
276,1960,5479081,ATC,IN,G01AA04,candicidin,N,N
277,1975,5936871,ATC,IN,N02BG10,cannabinoids,N,N
278,1981,5481863,ATC,IN,C03DA02,potassium canrenoate,N,Y
279,1982,5479082,ATC,IN,C03DA03,canrenone,N,N
280,1992,5479085,ATC,IN,M02AB01,capsaicin,N,Y
281,1992,5479086,ATC,IN,N01BX04,capsaicin,N,Y
282,1998,5479088,ATC,IN,C09AA01,captopril,N,Y
283,1999,5479090,ATC,IN,N07AB01,carbachol,N,Y
284,1999,5479091,ATC,IN,S01EB02,carbachol,N,Y
285,2002,5479092,ATC,IN,N03AF01,carbamazepine,N,Y
286,2009,5477552,ATC,PT,J01DH,Carbapenems,N,N
287,2010,5479114,ATC,IN,L01AC03,carboquone,N,N
288,2011,5479099,ATC,IN,B02BX02,carbazochrome,N,N
289,2015,5479100,ATC,IN,J01CA03,carbenicillin,N,Y
290,2017,5479101,ATC,IN,A02BX01,carbenoxolone,N,Y
291,2020,5479105,ATC,IN,H03BB01,carbimazole,N,Y
292,2023,5479107,ATC,IN,R05CB03,carbocisteine,N,Y
293,2028,5479109,ATC,IN,B05BA03,carbohydrates,N,N
294,2034,5479110,ATC,IN,V03AN02,carbon dioxide,N,N
295,2051,5479113,ATC,IN,G02AD04,carboprost,N,Y
296,2067,5479115,ATC,IN,N05CM04,carbromal,N,N
297,2068,5479116,ATC,IN,A10BB06,carbutamide,N,N
298,2079,5477514,ATC,PT,C01A,CARDIAC GLYCOSIDES,N,N
299,2087,5479119,ATC,IN,B05XA16,cardioplegia solutions,N,N
300,2098,5479120,ATC,IN,G01AA08,carfecillin,N,Y
301,2101,5479124,ATC,IN,M03BA02,carisoprodol,N,Y
302,2105,5479128,ATC,IN,L01AD01,carmustine,N,Y
303,2116,5479130,ATC,IN,C07AA15,carteolol,N,Y
304,2116,5479131,ATC,IN,S01ED05,carteolol,N,Y
305,2129,5479139,ATC,IN,A06AB05,castor oil,N,Y
306,2161,5479141,ATC,IN,V04CG01,cation exchange resins,N,N
307,2176,5479145,ATC,IN,J01DC04,cefaclor,N,Y
308,2177,5479146,ATC,IN,J01DB05,cefadroxil,N,Y
309,2178,5479150,ATC,IN,J01DC03,cefamandole,N,Y
310,2179,5479152,ATC,IN,J01DB07,cefatrizine,N,N
311,2180,5479154,ATC,IN,J01DB04,cefazolin,N,Y
312,2181,5479162,ATC,IN,J01DD05,cefmenoxime,N,N
313,2182,5479163,ATC,IN,J01DC09,cefmetazole,N,N
314,2183,5479166,ATC,IN,J01DC06,cefonicid,N,N
315,2184,5479167,ATC,IN,J01DD12,cefoperazone,N,N
316,2186,5479170,ATC,IN,J01DD01,cefotaxime,N,Y
317,2187,5479171,ATC,IN,J01DC05,cefotetan,N,N
318,2188,5479172,ATC,IN,J01DC07,cefotiam,N,N
319,2189,5479173,ATC,IN,J01DC01,cefoxitin,N,Y
320,2190,5479181,ATC,IN,J01DD03,cefsulodin,N,Y
321,2191,5479183,ATC,IN,J01DD02,ceftazidime,N,Y
322,2192,5479186,ATC,IN,J01DD07,ceftizoxime,N,Y
323,2193,5479188,ATC,IN,J01DD04,ceftriaxone,N,Y
324,2194,5479190,ATC,IN,J01DC02,cefuroxime,N,Y
325,2194,5479191,ATC,IN,S01AA27,cefuroxime,N,Y
326,2222,5481553,ATC,IN,B02BC02,oxidized cellulose,N,Y
327,2228,5480983,ATC,IN,N06BX01,meclofenoxate,N,N
328,2230,5479144,ATC,IN,J01DB10,cefacetrile,N,N
329,2231,5479147,ATC,IN,J01DB01,cefalexin,N,Y
330,2233,5479148,ATC,IN,J01DB02,cefaloridine,N,N
331,2236,5479149,ATC,IN,J01DB03,cefalotin,N,Y
332,2238,5479151,ATC,IN,J01DB08,cefapirin,N,N
333,2239,5479179,ATC,IN,J01DB09,cefradine,N,Y
334,2286,5479209,ATC,IN,B05CA01,cetylpyridinium,N,Y
335,2286,5479210,ATC,IN,D08AJ03,cetylpyridinium,N,Y
336,2286,5479211,ATC,IN,D09AA07,cetylpyridinium,N,Y
337,2286,5479212,ATC,IN,R02AA06,cetylpyridinium,N,Y
338,2323,5479214,ATC,IN,A05AA01,chenodeoxycholic acid,N,Y
339,2333,5479215,ATC,IN,P01AX01,chiniofon,N,N
340,2344,5479216,ATC,IN,N05CC01,chloral hydrate,N,Y
341,2346,5479218,ATC,IN,L01AA02,chlorambucil,N,Y
342,2348,5479219,ATC,IN,D06AX02,chloramphenicol,N,N
343,2348,5479220,ATC,IN,D10AF03,chloramphenicol,N,N
344,2348,5479221,ATC,IN,G01AA05,chloramphenicol,N,Y
345,2348,5479222,ATC,IN,J01BA01,chloramphenicol,N,Y
346,2348,5479223,ATC,IN,S01AA01,chloramphenicol,N,Y
347,2348,5479224,ATC,IN,S02AA01,chloramphenicol,N,Y
348,2348,5479225,ATC,IN,S03AA08,chloramphenicol,N,Y
349,2354,5479227,ATC,IN,R06AE04,chlorcyclizine,N,N
350,2356,5479228,ATC,IN,N05BA02,chlordiazepoxide,N,Y
351,2358,5479229,ATC,IN,A01AB03,chlorhexidine,N,Y
352,2358,5479230,ATC,IN,B05CA02,chlorhexidine,N,Y
353,2358,5479231,ATC,IN,D08AC02,chlorhexidine,N,N
354,2358,5479232,ATC,IN,D09AA12,chlorhexidine,N,N
355,2358,5479233,ATC,IN,R02AA05,chlorhexidine,N,Y
356,2358,5479234,ATC,IN,S01AX09,chlorhexidine,N,Y
357,2358,5479235,ATC,IN,S02AA09,chlorhexidine,N,Y
358,2358,5479236,ATC,IN,S03AA04,chlorhexidine,N,Y
359,2372,5479395,ATC,IN,N05CM02,clomethiazole,N,Y
360,2373,5479243,ATC,IN,M03BB02,chlormezanone,N,Y
361,2378,5479247,ATC,IN,A04AD04,chlorobutanol,N,Y
362,2382,5481965,ATC,IN,P01BB01,proguanil,N,Y
363,2393,5479255,ATC,IN,P01BA01,chloroquine,N,Y
364,2396,5479256,ATC,IN,C03AA04,chlorothiazide,N,Y
365,2397,5479259,ATC,IN,G03CA06,chlorotrianisene,N,Y
366,2399,5479263,ATC,IN,D01AE07,chlorphenesin,N,Y
367,2400,5479261,ATC,IN,R06AB04,chlorphenamine,N,Y
368,2403,5479268,ATC,IN,N05AA01,chlorpromazine,N,Y
369,2404,5479269,ATC,IN,A10BB02,chlorpropamide,N,Y
370,2406,5479270,ATC,IN,N05AF03,chlorprothixene,N,Y
371,2407,5479271,ATC,IN,D08AH02,chlorquinaldol,N,Y
372,2407,5479272,ATC,IN,G01AC03,chlorquinaldol,N,Y
373,2407,5479273,ATC,IN,P01AA04,chlorquinaldol,N,Y
374,2407,5479274,ATC,IN,R02AA11,chlorquinaldol,N,Y
375,2408,5479278,ATC,IN,A01AB21,chlortetracycline,N,Y
376,2408,5479279,ATC,IN,D06AA02,chlortetracycline,N,Y
377,2408,5479280,ATC,IN,J01AA03,chlortetracycline,N,Y
378,2408,5479281,ATC,IN,S01AA02,chlortetracycline,N,Y
379,2409,5479275,ATC,IN,C03BA04,chlortalidone,N,Y
380,2410,5479282,ATC,IN,M03BB03,chlorzoxazone,N,Y
381,2418,5479444,ATC,IN,A11CC05,colecalciferol,N,Y
382,2420,5481602,ATC,IN,V04CK02,pancreozymin (cholecystokinin),N,N
383,2427,5477563,ATC,PT,J07AE,Cholera vaccines,N,N
384,2447,5479447,ATC,IN,C10AC01,colestyramine,N,Y
385,2459,5475831,ATC,RXN_PT,N07AA,Anticholinesterase parasympathomimetics,N,N
386,2459,5477393,ATC,PT,N07AA,Anticholinesterases,N,N
387,2473,5479296,ATC,IN,M01AX25,chondroitin sulfate,N,N
388,2508,5479108,ATC,IN,C01DX05,carbocromen,N,N
389,2525,5479302,ATC,IN,M09AB01,chymopapain,N,N
390,2530,5479303,ATC,IN,B06AA04,chymotrypsin,N,Y
391,2530,5479304,ATC,IN,S01KX01,chymotrypsin,N,Y
392,2541,5479322,ATC,IN,A02BA01,cimetidine,N,Y
393,2546,5479331,ATC,IN,M04AC02,cinchophen,N,N
394,2549,5479334,ATC,IN,N07CA02,cinnarizine,N,Y
395,2550,5479337,ATC,IN,J01MB06,cinoxacin,N,Y
396,2551,5479339,ATC,IN,J01MA02,ciprofloxacin,N,Y
397,2551,5479340,ATC,IN,S01AE03,ciprofloxacin,N,Y
398,2551,5479341,ATC,IN,S02AA15,ciprofloxacin,N,Y
399,2551,5479342,ATC,IN,S03AA07,ciprofloxacin,N,Y
400,2555,5479345,ATC,IN,L01XA01,cisplatin,N,Y
401,2556,5479346,ATC,IN,N06AB04,citalopram,N,Y
402,2578,5479354,ATC,IN,D04AA14,clemastine,N,Y
403,2578,5479355,ATC,IN,R06AA04,clemastine,N,Y
404,2580,5479357,ATC,IN,R03AC14,clenbuterol,N,Y
405,2580,5479358,ATC,IN,R03CC13,clenbuterol,N,Y
406,2582,5479362,ATC,IN,D10AF01,clindamycin,N,Y
407,2582,5479363,ATC,IN,G01AA10,clindamycin,N,Y
408,2582,5479364,ATC,IN,J01FF01,clindamycin,N,Y
409,2590,5479374,ATC,IN,D07AD01,clobetasol,N,Y
410,2592,5479384,ATC,IN,J04BA01,clofazimine,N,Y
411,2594,5479392,ATC,IN,C10AB01,clofibrate,N,Y
412,2596,5479398,ATC,IN,G03GB02,clomifene,N,Y
413,2597,5479399,ATC,IN,N06AA04,clomipramine,N,Y
414,2598,5479401,ATC,IN,N03AE01,clonazepam,N,Y
