ATC level name,rxcui,rxaui,sab,tty,ATC code,suppress,mapped_to_bnf,combination
Amino acids,2,2,2,2,2,2,2,0
Amino acids and derivatives,1,1,1,1,1,1,1,0
"Amino acids, incl. combinations with polypeptides",1,1,1,1,1,1,1,0
"Amino acids/carbohydrates/minerals/vitamins, combinations",1,1,1,1,1,1,1,0
Aminoalkyl ethers,1,1,1,1,1,1,1,0
"Aminoalkyl ethers, systemic antihistamines",1,1,1,1,1,1,1,0
Aminoquinoline antimalarials,1,1,1,1,1,1,1,0
Aminoquinolines,1,1,1,1,1,1,1,0
Aminosalicylic acid and derivatives,1,1,1,1,1,1,1,0
Aminosalicylic acid and similar agents,1,1,1,1,1,1,1,0
"Amphenicol antibacterials, systemic",1,1,1,1,1,1,1,0
Amphenicols,1,1,1,1,1,1,1,0
Analgesics and anesthetics,1,1,1,1,1,1,1,0
"Androgen, progestogen and estrogen in combination",1,1,1,1,1,1,1,0
Androgens and estrogens,1,1,1,1,1,1,1,0
Androgens and female sex hormones in combination with other drugs,1,1,1,1,1,1,1,0
Androgens for topical use,1,1,1,1,1,1,1,0
Androstan derivatives,1,1,1,1,1,1,1,0
Anesthetics for topical use,1,1,1,1,1,1,1,0
"Anesthetics, local",1,1,1,1,1,1,1,0
Angiotensin II receptor blockers (ARBs) and calcium channel blockers,1,1,1,1,1,1,1,0
Angiotensin II receptor blockers (ARBs) and diuretics,1,1,1,1,1,1,1,0
"Angiotensin II receptor blockers (ARBs), other combinations",1,1,1,1,1,1,1,0
"Angiotensin II receptor blockers (ARBs), plain",1,1,1,1,1,1,1,0
Anilide analgesics and antipyretics,1,1,1,1,1,1,1,0
Anilides,1,1,1,1,1,1,1,0
Antacids with antiflatulents,1,1,1,1,1,1,1,0
Antacids with antispasmodics,1,1,1,1,1,1,1,0
Antacids with sodium bicarbonate,1,1,1,1,1,1,1,0
"Antacids, other combinations",1,1,1,1,1,1,1,0
"Antacids, other combinations in ATC",1,1,1,1,1,1,1,0
Anthracyclines and related substances,1,1,1,1,1,1,1,0
Anthrax vaccines,1,1,1,1,1,1,1,0
Anti-androgen hormone antagonists and related agents,1,1,1,1,1,1,1,0
Anti-androgens,1,1,1,1,1,1,1,0
Anti-estrogens,1,1,1,1,1,1,1,0
Anti-gonadotropin-releasing hormones,1,1,1,1,1,1,1,0
"Antiallergic agents, excl. corticosteroids",3,3,3,3,3,3,3,0
"Antiallergic inhalants for obstructive airway diseases, excl. corticosteroids",1,1,1,1,1,1,1,0
"Antiallergic intestinal antiinflammatory drugs, excl. corticosteroids",1,1,1,1,1,1,1,0
"Antiallergic nasal preparations for topical use, excl. corticosteroids",1,1,1,1,1,1,1,0
Antiandrogens and estrogens,1,1,1,1,1,1,1,0
"Antiandrogens, plain",1,1,1,1,1,1,1,0
"Antiarrhythmics, class III",1,1,1,1,1,1,1,0
"Antiarrhythmics, class Ia",1,1,1,1,1,1,1,0
"Antiarrhythmics, class Ib",1,1,1,1,1,1,1,0
"Antiarrhythmics, class Ic",1,1,1,1,1,1,1,0
Antibiotic throat preparations,1,1,1,1,1,1,1,0
Antibiotics,8,8,8,8,8,8,8,0
Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,1,1,1,1,1,1,1,0
Antibiotics and corticosteroids,1,1,1,1,1,1,1,0
Antibiotics for systemic use,1,1,1,1,1,1,1,0
"Antibiotics, Antitubercular",1,1,1,1,1,1,1,0
"Antibiotics, Gynecological",1,1,1,1,1,1,1,0
"Antibiotics, ophthalmologic",1,1,1,1,1,1,1,0
Anticholinergic mydriatics and cycloplegics,1,1,1,1,1,1,1,0
Anticholinergics,2,2,2,2,2,2,2,0
Anticholinergics inhalants for obstructive airway diseases,1,1,1,1,1,1,1,0
Anticholinesterase anti-dementia drugs,1,1,1,1,1,1,1,0
Anticholinesterase parasympathomimetics,1,1,1,1,1,1,1,0
Anticholinesterases,2,2,2,2,2,2,2,0
Anticorticosteroids,1,1,1,1,1,1,1,0
Antidepressants in combination with psycholeptics,1,1,1,1,1,1,1,0
Antidiarrheal microorganisms,1,1,1,1,1,1,1,0
Antidotes,1,1,1,1,1,1,1,0
Antifibrinolytic amino acids,1,1,1,1,1,1,1,0
"Antifungal Antibiotics, Topical",1,1,1,1,1,1,1,0
Antifungals for systemic use,1,1,1,1,1,1,1,0
Antigonadotropins and similar agents,1,1,1,1,1,1,1,0
Antihidrotics,1,1,1,1,1,1,1,0
Antihistamines for topical use,1,1,1,1,1,1,1,0
Antihypertensives for pulmonary arterial hypertension,1,1,1,1,1,1,1,0
Antiinfective irrigating solution combinations,1,1,1,1,1,1,1,1
Antiinfective irrigating solutions,1,1,1,1,1,1,1,0
Antiinfectives,3,3,3,3,3,3,3,0
Antiinfectives and antiseptics for local oral treatment,1,1,1,1,1,1,1,0
Antiinfectives for treatment of acne,1,1,1,1,1,1,1,0
"Antiinflammatory agents, non-steroidal, ophthalmologic",1,1,1,1,1,1,1,0
"Antiinflammatory agents, non-steroids",1,1,1,1,1,1,1,0
"Antiinflammatory agents, non-steroids and antiinfectives in combination",1,1,1,1,1,1,1,0
"Antiinflammatory preparations, non-steroids for topical use",1,1,1,1,1,1,1,0
Antiinflammatory products for vaginal administration,1,1,1,1,1,1,1,0
Antiinflammatory/antirheumatic agents in combination with corticosteroids,1,1,1,1,1,1,1,0
Antimony compounds,1,1,1,1,1,1,1,0
Antimony compounds for treatment of leishmaniasis and trypanosomiasis,1,1,1,1,1,1,1,0
Antineovascularisation agents,1,1,1,1,1,1,1,0
Antipropulsives,1,1,1,1,1,1,1,0
Antiseptic throat preparations,1,1,1,1,1,1,1,0
Antiseptics,1,1,1,1,1,1,1,0
Antiseptics and corticosteroids,1,1,1,1,1,1,1,0
Antispasmodics in combination with other drugs,1,1,1,1,1,1,1,0
"Antispasmodics, psycholeptics and analgesics in combination",1,1,1,1,1,1,1,0
Antivertigo preparations,1,1,1,1,1,1,1,0
Antivirals,2,2,2,2,2,2,2,0
Antivirals for treatment of HCV infections,1,1,1,1,1,1,1,0
"Antivirals for treatment of HIV infections, combinations",1,1,1,1,1,1,1,0
"Antivirals, ophthalmologic",1,1,1,1,1,1,1,0
"Antivirals, topical",1,1,1,1,1,1,1,0
Antracen derivatives,1,1,1,1,1,1,1,0
"Antracen derivatives, topical antipsoriatics",1,1,1,1,1,1,1,0
Aromatase inhibitors,1,1,1,1,1,1,1,0
Arsenic compounds,3,3,3,3,3,3,3,0
"Arsenic compounds, Gynecological",1,1,1,1,1,1,1,0
"Arsenic compounds, for amoebiasis and other protozoal diseases",1,1,1,1,1,1,1,0
"Arsenic compounds, for leishmaniasis and trypanosomiasis",1,1,1,1,1,1,1,0
"Artemisinin and derivatives, combinations",1,1,1,1,1,1,1,0
"Artemisinin and derivatives, plain",1,1,1,1,1,1,1,0
Aryloxyacetic acid derivatives,1,1,1,1,1,1,1,0
"Aryloxyacetic acid derivatives, high-ceiling diuretics",1,1,1,1,1,1,1,0
"Ascorbic acid (vitamin C), combinations",1,1,1,1,1,1,1,0
"Ascorbic acid (vitamin C), plain",1,1,1,1,1,1,1,0
Avermectines,1,1,1,1,1,1,1,0
Azaspirodecanedione derivatives,1,1,1,1,1,1,1,0
"Azaspirodecanedione derivatives, anxiolytics",1,1,1,1,1,1,1,0
"BACTERIAL AND VIRAL VACCINES, COMBINED",1,1,1,1,1,1,1,0
BACTERIAL VACCINES,1,1,1,1,1,1,1,0
BCG vaccine,1,1,1,1,1,1,1,1
"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",1,1,1,1,1,1,1,0
"BELLADONNA AND DERIVATIVES, PLAIN",1,1,1,1,1,1,1,0
BETA BLOCKING AGENTS,2,2,2,2,2,2,2,0
BETA BLOCKING AGENTS AND OTHER DIURETICS,1,1,1,1,1,1,1,0
BETA BLOCKING AGENTS AND THIAZIDES,1,1,1,1,1,1,1,0
BETA BLOCKING AGENTS AND VASODILATORS,1,1,1,1,1,1,1,0
"BETA BLOCKING AGENTS, OTHER COMBINATIONS",1,1,1,1,1,1,1,0
"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",1,1,1,1,1,1,1,0
"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",1,1,1,1,1,1,1,0
BILE AND LIVER THERAPY,1,1,1,1,1,1,1,0
BILE AND LIVER THERAPY DRUGS,1,1,1,1,1,1,1,0
BILE THERAPY,1,1,1,1,1,1,1,0
BILE THERAPY DRUGS,1,1,1,1,1,1,1,0
BLOOD AND BLOOD FORMING ORGAN DRUGS,1,1,1,1,1,1,1,0
BLOOD AND BLOOD FORMING ORGANS,1,1,1,1,1,1,1,0
BLOOD AND RELATED PRODUCTS,1,1,1,1,1,1,1,0
"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",1,1,1,1,1,1,1,0
BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,1,1,1,1,1,1,1,0
"Bacterial and viral vaccines, combined",1,1,1,1,1,1,1,0
Barbiturates and derivatives,1,1,1,1,1,1,1,0
"Barbiturates for general anesthesia, plain",1,1,1,1,1,1,1,0
Barbiturates in combination with other drugs,1,1,1,1,1,1,1,0
"Barbiturates, combinations",1,1,1,1,1,1,1,0
"Barbiturates, hypnotics and sedatives, plain",1,1,1,1,1,1,1,0
"Barbiturates, plain",2,2,2,2,2,2,2,0
Barium sulfate containing X-ray contrast media,1,1,1,1,1,1,1,0
"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",1,1,1,1,1,1,1,0
"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds for functional gastrointestinal disorders",1,1,1,1,1,1,1,0
"Belladonna alkaloids, tertiary amines",1,1,1,1,1,1,1,0
"Belladonna alkaloids, tertiary amines for functional gastrointestinal disorders",1,1,1,1,1,1,1,0
Belladonna and derivatives in combination with analgesics,1,1,1,1,1,1,1,0
Belladonna and derivatives in combination with psycholeptics,1,1,1,1,1,1,1,0
Benzamide antipsychotics,1,1,1,1,1,1,1,0
Benzamides,1,1,1,1,1,1,1,0
Benzimidazole derivatives,1,1,1,1,1,1,1,0
"Benzimidazole derivatives, antinematodal",1,1,1,1,1,1,1,0
Benzodiazepine derivative antiepileptics,1,1,1,1,1,1,1,0
Benzodiazepine derivative anxiolytics,1,1,1,1,1,1,1,0
Benzodiazepine derivative hypnotics and sedatives,1,1,1,1,1,1,1,0
Benzodiazepine derivatives,3,3,3,3,3,3,3,0
Benzodiazepine related drugs,1,1,1,1,1,1,1,0
Benzodiazepine related hypnotics and sedatives,1,1,1,1,1,1,1,0
Benzomorphan derivative analgesics,1,1,1,1,1,1,1,0
Benzomorphan derivatives,1,1,1,1,1,1,1,0
Benzothiazepine derivative selective calcium channel blockers with direct cardiac effects,1,1,1,1,1,1,1,0
Benzothiazepine derivatives,1,1,1,1,1,1,1,0
Beta blocking agents,1,1,1,1,1,1,1,0
Beta blocking agents and calcium channel blockers,1,1,1,1,1,1,1,0
"Beta blocking agents, antiglaucoma preparations and miotics",1,1,1,1,1,1,1,0
"Beta blocking agents, non-selective",1,1,1,1,1,1,1,0
"Beta blocking agents, non-selective, and other diuretics",1,1,1,1,1,1,1,0
"Beta blocking agents, non-selective, and thiazides",1,1,1,1,1,1,1,0
"Beta blocking agents, non-selective, and vasodilators",1,1,1,1,1,1,1,0
"Beta blocking agents, non-selective, thiazides and other diuretics",1,1,1,1,1,1,1,0
"Beta blocking agents, other combinations",1,1,1,1,1,1,1,0
"Beta blocking agents, selective",1,1,1,1,1,1,1,0
"Beta blocking agents, selective, and other diuretics",1,1,1,1,1,1,1,0
"Beta blocking agents, selective, and thiazides",1,1,1,1,1,1,1,0
"Beta blocking agents, selective, and vasodilators",1,1,1,1,1,1,1,0
"Beta blocking agents, selective, thiazides and other diuretics",1,1,1,1,1,1,1,0
Beta-lactamase inhibitors,1,1,1,1,1,1,1,0
"Beta-lactamase inhibitors, systemic penicillins",1,1,1,1,1,1,1,0
Beta-lactamase resistant penicillins,1,1,1,1,1,1,1,0
Beta-lactamase sensitive penicillin combinations,1,1,1,1,1,1,1,1
Beta-lactamase sensitive penicillins,1,1,1,1,1,1,1,0
Betulae cortex,1,1,1,1,1,1,1,1
Biguanides,2,2,2,2,2,2,2,0
Biguanides and amidines,1,1,1,1,1,1,1,0
Biguanides and amidines as antiseptics and disinfectants,1,1,1,1,1,1,1,0
Bile acid sequestrants,1,1,1,1,1,1,1,0
Bile acids and derivatives,1,1,1,1,1,1,1,0
Bile acids and derivatives for bile therapy,1,1,1,1,1,1,1,0
Bioflavonoid drugs for capillary stabilizing,1,1,1,1,1,1,1,0
Bioflavonoids,1,1,1,1,1,1,1,0
Bismuth preparations,1,1,1,1,1,1,1,0
"Bismuth preparations, intestinal adsorbents",1,1,1,1,1,1,1,0
Bisphosphonate drugs affecting bone structure and mineralization,1,1,1,1,1,1,1,0
Bisphosphonates,1,1,1,1,1,1,1,0
"Bisphosphonates, combinations",1,1,1,1,1,1,1,0
"Bisphosphonates, combinations affecting bone structure and mineralization",1,1,1,1,1,1,1,0
Bisquaternary ammonium compounds,1,1,1,1,1,1,1,0
"Bisquaternary ammonium compounds, ganglion-blocking antiandrenergic",1,1,1,1,1,1,1,0
Blood coagulation factors,1,1,1,1,1,1,1,0
Blood substitutes and plasma protein fractions,1,1,1,1,1,1,1,0
"Blood tests, auxiliary products",1,1,1,1,1,1,1,0
"Blood transfusion, auxiliary products",1,1,1,1,1,1,1,0
Bone morphogenetic proteins,1,1,1,1,1,1,1,0
Boric acid antiseptics and disinfectants,1,1,1,1,1,1,1,0
Boric acid products,1,1,1,1,1,1,1,0
Brucellosis vaccines,1,1,1,1,1,1,1,0
Bulk-forming laxatives,1,1,1,1,1,1,1,0
Butylpyrazolidines,1,1,1,1,1,1,1,0
"Butylpyrazolidines, antiinflammatory and antirheumatic drugs",1,1,1,1,1,1,1,0
Butyrophenone derivatives,1,1,1,1,1,1,1,0
"Butyrophenone derivatives, antipsychotics",1,1,1,1,1,1,1,0
CALCIUM,1,1,1,1,1,1,1,0
CALCIUM CHANNEL BLOCKERS,1,1,1,1,1,1,1,0
CALCIUM CHANNEL BLOCKERS AND DIURETICS,1,1,1,1,1,1,1,0
CALCIUM HOMEOSTASIS,1,1,1,1,1,1,1,0
CALCIUM SUPPLEMENTS,1,1,1,1,1,1,1,0
CAPILLARY STABILIZING AGENTS,1,1,1,1,1,1,1,0
CARDIAC GLYCOSIDES,1,1,1,1,1,1,1,0
CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,1,1,1,1,1,1,1,0
CARDIAC THERAPY,1,1,1,1,1,1,1,0
